Manufacturer|Value|Code|Pacage|Description|Count|Supplier|Datasheet|Reference|
Conntherm|2x19|PBD38S-CT|THT-2.54-FS-2x19|2.54mm;|2|Maritex|-|CN2; CN1|
Infineon Technologies|BCR108|BCR108SH6327|SOT363-6|50V; 500mA; 330mW; Reb:10kΩ; Rb:1kΩ;|10|TME|-|T10; T9; T1; T2; T8; T7; T6; T5; T4; T3|
Royal Ohm|2.2kΩ|4D03WGJ0222T5E|4x0603|±5%;|5|TME|-|R1; R2; R3; R4; R5|
Würth Elektronik|3020|150302YS73100|PLCC2-3020|Yellow;|16|Würth Elektronik|-|LED1; LED2; LED3; LED4; LED5; LED6; LED7; LED8; LED9; LED10; LED11; LED12; LED13; LED14; LED15; LED16|
Würth Elektronik|5050|150505M173300|PLCC6-5050|RGB;|1|Würth Elektronik|-|RGB1|
Würth Elektronik|2x08|61301621121|THT-2.54-MS-2x08|2.54mm;|1|Würth Elektronik|-|CN3|
Würth Elektronik|2x10|61302021121|THT-2.54-MS-2x10|2.54mm;|1|Würth Elektronik|-|CN4|
Würth Elektronik|WS-DISV|418121270808|SMD-DIP08|2.54mm;|1|Würth Elektronik|-|DIP1|
Würth Elektronik|TACT|434121043836|6.0x3.5|360g; 6.0x3.5x4.3mm;|4|Würth Elektronik|-|SW4; SW3; SW2; SW1|
Würth Elektronik|1nF|885012006063|0603|50V; NP0; 5%;|10|Würth Elektronik|-|C8; C7; C10; C9; C6; C5; C4; C3; C2; C1|
